Job_name,Company_name,Place,Date,job_type,experience
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt",7 hours ago,Full Time,Full TimePart TimeFreelance / ProjectExperienced · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI)
Faculty - Data Science and Cyber Security,University of Doha for Science and Technology (UDST) -,"Doha, Qatar",1 day ago,Full Time,Full TimeNot specified · Administration · Creative/Design/Art · Education/Teaching · Education · Teaching · Administration · Tutor · Microsoft Office · Microsoft Excel · Applied Arts
Assistant Manager - Data Science,Bupa Arabia -,"Jeddah, Saudi Arabia",3 days ago,Full Time,Full TimeNot specified · Administration · Customer Service/Support · Operations/Management · Administration · Office Management · Microsoft Office · Secretary · Admin Assistant · Admin · Customer Service
Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI -,"Nasr City, Cairo, Egypt",9 hours ago,Full Time,Full TimePart TimeFreelance / ProjectExperienced · 1+ Yrs of Exp · IT/Software Development · Analyst/Research · Training/Instructor · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL
Data Engineer,Carina Wear -,"New Cairo, Cairo, Egypt",8 days ago,Full Time,Full TimeEntry Level · 0 - 1 Yrs of Exp · Analyst/Research · Engineering - Other · Engineering · Data Engineering · Data Warehousing · Data Warehouse · Analysis · SQL · Computer Science · Information Technology (IT)
Data Engineer | Corporate Services | Data AI Automation,Dubai Festival City -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · software development · sql · python · devops
Data Engineer | Corporate Services | Data AI Automation,Al Futtaim Group - Other locations -,"Dubai, United Arab Emirates",3 days ago,Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · engineering · software development · sql · python · devops
Data Analyst,ITCan -,"Rehab City, Cairo, Egypt",9 days ago,Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · Analyst/Research · BI · Analysis · analytical · Computer Science · Data Analysis · Development · Engineering · Information Technology (IT) · Power BI
Data Analytics,DXC -,"Cairo, Egypt",6 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Data Analysis · Analysis · Data Analytics · Marketing · SQL
Data Analytics,DXC.technology -,"Cairo, Egypt",8 days ago,Full Time,Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Data Analysis · Analysis · Data Analytics · Marketing · SQL
Data Analyst - Saudi Arabia,peroptyx network -,"Riyadh, Saudi Arabia",6 days ago,Full Time,Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
